0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1.5303718734300502,0.1632653061224489,6.708297891408716,3168.0,16.0,0.0,48.0,66.0,0.0656028368794326,0.054079254079254,0.0935385399244414,0.1522898379511114,13.625,13.06060606060606,0.305668841761827,0.3289444810182137,0.003190576777758,0.0043828079932367,1.0,0.0,5.0
0.2234848484848484,0.0461538461538461,1.1220111034358629,960.0,3.0,0.0,48.0,20.0,0.0656028368794326,0.0684210526315789,0.0935385399244414,0.026309583404888,13.625,17.2,0.305668841761827,0.2957774269928966,0.003190576777758,0.0013673840197808,1.0,0.0,6.0
1.4982719177841128,0.1442307692307692,6.434748690039283,3408.0,15.0,0.0,48.0,71.0,0.0656028368794326,0.0402414486921529,0.0935385399244414,0.1718268054743426,13.625,12.014084507042254,0.305668841761827,0.3296679129096107,0.003190576777758,0.0047093688757741,1.0,0.0,7.0
0.352569355527102,0.0952380952380952,2.054963393280795,1008.0,6.0,0.0,48.0,21.0,0.0656028368794326,0.1095238095238095,0.0935385399244414,0.0587878981638635,13.625,19.61904761904762,0.305668841761827,0.2862325759022341,0.003190576777758,0.0014357506542907,1.0,0.0,8.0
0.8582042761620226,0.1265822784810126,3.9609285722908094,1968.0,10.0,0.0,48.0,41.0,0.0656028368794326,0.0573170731707317,0.0935385399244414,0.0904163771439836,13.625,15.195121951219512,0.305668841761827,0.315645399031375,0.003190576777758,0.0027327520691962,1.0,0.0,9.0
0.1461038961038961,0.0579710144927536,1.1949641953346215,1200.0,4.0,0.0,48.0,25.0,0.0656028368794326,0.0566666666666666,0.0935385399244414,0.0208904077641174,13.625,14.4,0.305668841761827,0.2877711652908428,0.003190576777758,0.0017107264420072,1.0,0.0,12.0
0.3746753246753246,0.0769230769230769,1.893549844980336,1056.0,5.0,0.0,48.0,22.0,0.0656028368794326,0.0735930735930736,0.0935385399244414,0.0529248137408034,13.625,17.681818181818183,0.305668841761827,0.3078028747433265,0.003190576777758,0.0015012007484998,1.0,0.0,13.0
0.3178723858301323,0.0862068965517241,1.7673165915317286,720.0,5.0,0.0,48.0,15.0,0.0656028368794326,0.1333333333333333,0.0935385399244414,0.0414937436284906,13.625,22.2,0.305668841761827,0.3025227043390515,0.003190576777758,0.0010336584187818,1.0,0.0,14.0
0.4810569105691057,0.0684931506849315,2.1048613507607854,1440.0,5.0,0.0,48.0,30.0,0.0656028368794326,0.032183908045977,0.0935385399244414,0.0145815440447653,13.625,10.833333333333334,0.305668841761827,0.3051710097719869,0.003190576777758,0.0020663512387677,1.0,0.0,16.0
0.0151515151515151,0.0169491525423728,0.2386831520910304,576.0,1.0,0.0,48.0,12.0,0.0656028368794326,0.1212121212121212,0.0935385399244414,0.0231196225224347,13.625,22.666666666666668,0.305668841761827,0.2821912650602409,0.003190576777758,0.0008741956996244,1.0,0.0,17.0
0.9327235772357724,0.0909090909090909,3.450909744991311,1728.0,7.0,0.0,48.0,36.0,0.0656028368794326,0.0349206349206349,0.0935385399244414,0.0148619444425543,13.625,10.63888888888889,0.305668841761827,0.3060432829726419,0.003190576777758,0.0024833715636822,1.0,0.0,18.0
0.0384747509446925,0.0357142857142857,0.5038767137860016,480.0,2.0,0.0,48.0,10.0,0.0656028368794326,0.1777777777777777,0.0935385399244414,0.0322656004003154,13.625,25.8,0.305668841761827,0.2713613323678494,0.003190576777758,0.0007246584786163,1.0,0.0,21.0
0.5384848484848485,0.0793650793650793,2.1944500928719046,960.0,5.0,0.0,48.0,20.0,0.0656028368794326,0.0789473684210526,0.0935385399244414,0.0307794420925808,13.625,16.3,0.305668841761827,0.2979526933015305,0.003190576777758,0.0013939286862922,1.0,0.0,22.0
0.0990808115507531,0.0677966101694915,1.0660753190257044,720.0,4.0,0.0,48.0,15.0,0.0656028368794326,0.1428571428571428,0.0935385399244414,0.0705219124458138,13.625,26.6,0.305668841761827,0.3064812921692905,0.003190576777758,0.0010373089842768,1.0,0.0,23.0
0.3071581001158466,0.0714285714285714,1.507903332182946,576.0,4.0,0.0,48.0,12.0,0.0656028368794326,0.1363636363636363,0.0935385399244414,0.0293123801073139,13.625,21.416666666666668,0.305668841761827,0.2749449743213499,0.003190576777758,0.0008528275377495,1.0,0.0,26.0
0.2807511737089201,0.0545454545454545,1.2251985133500776,480.0,3.0,0.0,48.0,10.0,0.0656028368794326,0.1333333333333333,0.0935385399244414,0.0191342710466427,13.625,18.7,0.305668841761827,0.2713122171945701,0.003190576777758,0.0007318368741965,1.0,0.0,34.0
0.0151515151515151,0.015625,0.2386831520910304,816.0,1.0,0.0,48.0,17.0,0.0656028368794326,0.0661764705882353,0.0935385399244414,-0.0010700486687177,13.625,13.0,0.305668841761827,0.2667259786476868,0.003190576777758,0.0012389157795804,1.0,0.0,35.0
0.175,0.037037037037037,0.814706547658322,384.0,2.0,0.0,48.0,8.0,0.0656028368794326,0.1428571428571428,0.0935385399244414,0.0070091328429247,13.625,18.25,0.305668841761827,0.2602430555555555,0.003190576777758,0.0006061957681152,1.0,0.0,40.0
0.0,0.0,0.0,336.0,0.0,0.0,48.0,7.0,0.0656028368794326,0.0,0.0935385399244414,-0.0070873370952683,13.625,12.571428571428571,0.305668841761827,0.2567660157588215,0.003190576777758,0.0005678792671913,1.0,0.0,48.0
0.0950368879946344,0.0545454545454545,0.8570670482698677,480.0,3.0,0.0,48.0,10.0,0.0656028368794326,0.1555555555555555,0.0935385399244414,0.0172783016460051,13.625,21.3,0.305668841761827,0.2673920799143774,0.003190576777758,0.0007342787320366,1.0,0.0,55.0
